Provinsi / Kabupaten / Kota,Angka Harapan Hidup (Tahun)
,2013
ACEH,69.4
SIMEULUE,63.32
ACEH SINGKIL,65.58
ACEH SELATAN,67.54
ACEH TENGGARA,69.69
ACEH TIMUR,70.26
ACEH TENGAH,70.26
ACEH BARAT,70.55
ACEH BESAR,71.17
PIDIE,70.34
BIREUEN,72.63
ACEH UTARA,70.26
ACEH BARAT DAYA,67.78
GAYO LUES,67.62
ACEH TAMIANG,68.75
NAGAN RAYA,70.26
ACEH JAYA,68.53
BENER MERIAH,68.04
PIDIE JAYA,69.76
KOTA BANDA ACEH,71.72
KOTA SABANG,71.89
KOTA LANGSA,71.23
KOTA LHOKSEUMAWE,72.03
KOTA SUBULUSSALAM,66.63
SUMATERA UTARA,69.9
NIAS,70.12
MANDAILING NATAL,63.79
TAPANULI SELATAN,67.61
TAPANULI TENGAH,68.57
TAPANULI UTARA,70.47
TOBA SAMOSIR,70.86
LABUHAN BATU,70.25
ASAHAN,69.32
SIMALUNGUN,69.24
DAIRI,68.99
KARO,72.44
DELI SERDANG,71.31
LANGKAT,69.25
NIAS SELATAN,70.86
HUMBANG HASUNDUTAN,68.09
PAKPAK BHARAT,68.2
SAMOSIR,70.01
SERDANG BEDAGAI,69.27
BATU BARA,68.92
PADANG LAWAS UTARA,66.76
PADANG LAWAS,67.19
LABUHAN BATU SELATAN,70.67
LABUHAN BATU UTARA,70.47
NIAS UTARA,69.39
NIAS BARAT,69.4
KOTA SIBOLGA,70.39
KOTA TANJUNG BALAI,71.25
KOTA PEMATANG SIANTAR,72.54
KOTA TEBING TINGGI,71.68
KOTA MEDAN,72.37
KOTA BINJAI,72.07
KOTA PADANGSIDIMPUAN,69.89
KOTA GUNUNGSITOLI,70.82
SUMATERA BARAT,70.09
KEPULAUAN MENTAWAI,68.72
PESISIR SELATAN,67.92
SOLOK,67.33
SIJUNJUNG,67.63
TANAH DATAR,71.75
PADANG PARIAMAN,69.44
AGAM,69.43
LIMA PULUH KOTA,69.2
PASAMAN,68.17
SOLOK SELATAN,64.94
DHARMAS RAYA,66.55
PASAMAN BARAT,65.77
KOTA PADANG,71.44
KOTA SOLOK,70.05
KOTA SAWAH LUNTO,72.11
KOTA PADANG PANJANG,72.08
KOTA BUKITTINGGI,71.89
KOTA PAYAKUMBUH,70.96
KOTA PARIAMAN,69.54
RIAU,71.73
KUANTAN SINGINGI,68.61
INDRAGIRI HULU,69.03
INDRAGIRI HILIR,71.95
PELALAWAN,69.17
SIAK,72.07
KAMPAR,68.92
ROKAN HULU,67.28
BENGKALIS,70.61
ROKAN HILIR,67.41
KEPULAUAN MERANTI,69
KOTA PEKANBARU,71.94
KOTA DUMAI,72.29
JAMBI,69.61
KERINCI,71.19
MERANGIN,69.15
SAROLANGUN,69.85
BATANG HARI,69.8
MUARO JAMBI,69.49
TANJUNG JABUNG TIMUR,71.23
TANJUNG JABUNG BARAT,70.29
TEBO,69.47
BUNGO,67.95
KOTA JAMBI,70.15
KOTA SUNGAI PENUH,71.19
SUMATERA SELATAN,70.1
OGAN KOMERING ULU,69.7
OGAN KOMERING ILIR,68.52
MUARA ENIM,68.11
LAHAT,68.99
MUSI RAWAS,65.56
MUSI BANYUASIN,70.44
BANYU ASIN,67.84
OGAN KOMERING ULU SELATAN,69.59
OGAN KOMERING ULU TIMUR,68.56
OGAN ILIR,66.9
EMPAT LAWANG,65.78
PENUKAL ABAB LEMATANG ILIR,64.95
MUSI RAWAS UTARA,63.82
KOTA PALEMBANG,71.67
KOTA PRABUMULIH,72.8
KOTA PAGAR ALAM,70.7
KOTA LUBUKLINGGAU,66.05
BENGKULU,70.44
BENGKULU SELATAN,67.77
REJANG LEBONG,68.03
BENGKULU UTARA,69.97
KAUR,67.93
SELUMA,66.26
MUKOMUKO,68.17
LEBONG,67.49
KEPAHIANG,64.93
BENGKULU TENGAH,70.28
KOTA BENGKULU,70.86
LAMPUNG,70.09
LAMPUNG BARAT,67.81
TANGGAMUS,70.21
LAMPUNG SELATAN,69.05
LAMPUNG TIMUR,70.74
LAMPUNG TENGAH,69.72
LAMPUNG UTARA,68.49
WAY KANAN,69.96
TULANGBAWANG,69.46
PESAWARAN,68.71
PRINGSEWU,68.77
MESUJI,68.5
TULANGBAWANG BARAT,68.78
PESISIR BARAT,63.98
KOTA BANDAR LAMPUNG,71.68
KOTA METRO,72.98
KEP. BANGKA BELITUNG,69.46
BANGKA,68.26
BELITUNG,69.56
BANGKA BARAT,68.32
BANGKA TENGAH,68.39
BANGKA SELATAN,68.33
BELITUNG TIMUR,69.5
KOTA PANGKAL PINANG,70.95
KEP. RIAU,69.97
KARIMUN,70.11
BINTAN,69.91
NATUNA,68.57
LINGGA,70.48
KEPULAUAN ANAMBAS,67.8
KOTA BATAM,70.96
KOTA TANJUNG PINANG,69.75
DKI JAKARTA,73.56
KEPULAUAN SERIBU,70.84
KODYA JAKARTA SELATAN,73.96
KODYA JAKARTA TIMUR,73.75
KODYA JAKARTA PUSAT,72.57
KODYA JAKARTA BARAT,73.88
KODYA JAKARTA UTARA,73.12
JAWA BARAT,68.84
BOGOR,70.2
SUKABUMI,67.9
CIANJUR,66.8
BANDUNG,69.37
GARUT,66.51
TASIKMALAYA,68.8
CIAMIS,67.73
KUNINGAN,68.11
CIREBON,66.04
MAJALENGKA,67.38
SUMEDANG,68.13
INDRAMAYU,67.74
SUBANG,69.89
PURWAKARTA,67.74
KARAWANG,67.8
BEKASI,70.45
BANDUNG BARAT,69.23
PANGANDARAN,66.59
KOTA BOGOR,69.25
KOTA SUKABUMI,70.36
KOTA BANDUNG,70.13
KOTA CIREBON,69.04
KOTA BEKASI,70.16
KOTA DEPOK,73.64
KOTA CIMAHI,69.82
KOTA TASIKMALAYA,70.8
KOTA BANJAR,66.89
JAWA TENGAH,71.97
CILACAP,71.63
BANYUMAS,70.23
PURBALINGGA,71.08
BANJARNEGARA,69.56
KEBUMEN,69.73
PURWOREJO,71.44
WONOSOBO,70.58
MAGELANG,70.63
BOYOLALI,70.71
KLATEN,72.16
SUKOHARJO,70.64
WONOGIRI,72.82
KARANGANYAR,72.56
SRAGEN,73.05
GROBOGAN,70.45
BLORA,72.02
REMBANG,70.64
PATI,73.05
KUDUS,69.83
JEPARA,71.23
DEMAK,71.95
SEMARANG,72.9
TEMANGGUNG,72.87
KENDAL,69.42
BATANG,70.97
PEKALONGAN,69.96
PEMALANG,68.52
TEGAL,69.58
BREBES,68.36
KOTA MAGELANG,70.74
KOTA SURAKARTA,72.75
KOTA SALATIGA,71.45
KOTA SEMARANG,72.44
KOTA PEKALONGAN,70.83
KOTA TEGAL,69.42
DI YOGYAKARTA,73.62
KULON PROGO,75.03
BANTUL,71.62
GUNUNG KIDUL,71.36
SLEMAN,75.79
KOTA YOGYAKARTA,73.71
JAWA TIMUR,70.37
PACITAN,72.18
PONOROGO,70.85
TRENGGALEK,72.33
TULUNGAGUNG,72.02
BLITAR,71.8
KEDIRI,70.65
MALANG,69.7
LUMAJANG,67.95
JEMBER,63.64
BANYUWANGI,68.58
BONDOWOSO,63.95
SITUBONDO,63.95
PROBOLINGGO,62.1
PASURUAN,64.81
SIDOARJO,71.43
MOJOKERTO,71.13
JOMBANG,70.64
NGANJUK,69.82
MADIUN,69.68
MAGETAN,71.96
NGAWI,70.97
BOJONEGORO,67.81
TUBAN,68.71
LAMONGAN,68.98
GRESIK,71.57
BANGKALAN,64.02
SAMPANG,64.52
PAMEKASAN,65.19
SUMENEP,65.49
KOTA KEDIRI,71.36
KOTA BLITAR,73
KOTA MALANG,71.14
KOTA PROBOLINGGO,71.16
KOTA PASURUAN,66.75
KOTA MOJOKERTO,72.48
KOTA MADIUN,71.89
KOTA SURABAYA,72.13
KOTA BATU,70.32
BANTEN,65.47
PANDEGLANG,64.35
LEBAK,63.62
TANGERANG,66.33
SERANG,64.39
KOTA TANGERANG,68.56
KOTA CILEGON,68.97
KOTA SERANG,66.65
KOTA TANGERANG SELATAN,69.17
BALI,71.2
JEMBRANA,72.31
TABANAN,74.91
BADUNG,72.24
GIANYAR,72.56
KLUNGKUNG,69.52
BANGLI,72.18
KARANG ASEM,68.32
BULELENG,70
KOTA DENPASAR,73.46
NUSA TENGGARA BARAT,63.21
LOMBOK BARAT,62.13
LOMBOK TENGAH,62.44
LOMBOK TIMUR,62.14
SUMBAWA,61.43
DOMPU,61.68
BIMA,63.95
SUMBAWA BARAT,62.13
LOMBOK UTARA,61.72
KOTA MATARAM,68.12
KOTA BIMA,63.62
NUSA TENGGARA TIMUR,68.05
SUMBA BARAT,65.75
SUMBA TIMUR,62.33
KUPANG,65.94
TIMOR TENGAH SELATAN,67.26
TIMOR TENGAH UTARA,69.19
BELU,66.75
ALOR,67.67
LEMBATA,66.88
FLORES TIMUR,68.79
SIKKA,69.66
ENDE,65.31
NGADA,67.46
MANGGARAI,67.74
ROTE NDAO,68.74
MANGGARAI BARAT,66.84
SUMBA TENGAH,64.2
SUMBA BARAT DAYA,63.14
NAGEKEO,63.89
MANGGARAI TIMUR,68.19
SABU RAIJUA,68.01
MALAKA,66.87
KOTA KUPANG,73.46
KALIMANTAN BARAT,67.4
SAMBAS,62.31
BENGKAYANG,69.61
LANDAK,66.35
PONTIANAK,67.66
SANGGAU,69.39
KETAPANG,68.37
SINTANG,69.04
KAPUAS HULU,67.17
SEKADAU,67.71
MELAWI,68.29
KAYONG UTARA,66.3
KUBU RAYA,66.83
KOTA PONTIANAK,67.88
KOTA SINGKAWANG,67.86
KALIMANTAN TENGAH,71.47
KOTAWARINGIN BARAT,71.79
KOTAWARINGIN TIMUR,69.92
KAPUAS,71.11
BARITO SELATAN,68.47
BARITO UTARA,72.39
SUKAMARA,68.04
LAMANDAU,67.45
SERUYAN,68.12
KATINGAN,67.72
PULANG PISAU,67.79
GUNUNG MAS,68.28
BARITO TIMUR,68
MURUNG RAYA,68.28
KOTA PALANGKA RAYA,73.69
KALIMANTAN SELATAN,64.82
TANAH LAUT,69.29
KOTA BARU,66.45
BANJAR,66.18
BARITO KUALA,63.04
TAPIN,68.03
HULU SUNGAI SELATAN,64.87
HULU SUNGAI TENGAH,66.43
HULU SUNGAI UTARA,64.17
TABALONG,63.72
TANAH BUMBU,65.86
BALANGAN,62.5
KOTA BANJARMASIN,66.66
KOTA BANJAR BARU,68.32
KALIMANTAN TIMUR,71.78
PASIR,73.99
KUTAI BARAT,70.63
KUTAI KARTANEGARA,68.39
KUTAI TIMUR,69.17
BERAU,70.73
MALINAU,-
BULUNGAN,-
NUNUKAN,-
PENAJAM PASER UTARA,71.94
TANA TIDUNG,-
MAHAKAM ULU,70.14
KOTA BALIKPAPAN,72.81
KOTA SAMARINDA,71.92
KOTA TARAKAN,-
KOTA BONTANG,73.12
KALIMANTAN UTARA,69.7
MALINAU,68.62
BULONGAN,73.32
TANA TIDUNG,72.76
NUNUKAN,72.01
KOTA TARAKAN,72.19
SULAWESI UTARA,72.62
BOLAANG MONGONDOW,72.06
MINAHASA,72.8
KEPULAUAN SANGIHE,73.55
KEPULAUAN TALAUD,72.57
MINAHASA SELATAN,72.76
MINAHASA UTARA,73.09
BOLAANG MONGONDOW UTARA,70.42
SIAU TAGULANDANG BIARO,69
MINAHASA TENGGARA,70.34
BOLAANG MONGONDOW SELATAN,71.47
BOLAANG MONGONDOW TIMUR,71.51
KOTA MANADO,72.96
KOTA BITUNG,70.9
KOTA TOMOHON,73.13
KOTA KOTAMOBAGU,72.34
SULAWESI TENGAH,67.21
BANGGAI KEPULAUAN,64.85
BANGGAI,69.03
MOROWALI,65.95
POSO,65.52
DONGGALA,66.29
TOLI-TOLI,64.82
BUOL,65.95
PARIGI MOUTONG,66.02
TOJO UNA-UNA,64.22
SIGI,66
BANGGAI LAUT,63.33
MOROWALI UTARA,69.46
KOTA PALU,70.72
SULAWESI SELATAN,70.6
KEPULAUAN SELAYAR,68.08
BULUKUMBA,72.62
BANTAENG,74.59
JENEPONTO,65.4
TAKALAR,70.3
GOWA,72.04
SINJAI,72.83
MAROS,73.55
PANGKAJENE DAN KEPULAUAN,69.16
BARRU,69.52
BONE,70.56
SOPPENG,71.93
WAJO,72.11
SIDENRENG RAPPANG,73.38
PINRANG,72.81
ENREKANG,75.66
LUWU,74.68
TANA TORAJA,74.28
LUWU UTARA,72.03
LUWU TIMUR,71.29
TORAJA UTARA,73.66
KOTA MAKASSAR,74.38
KOTA PARE-PARE,75.04
KOTA PALOPO,72.93
SULAWESI TENGGARA,68.56
BUTON,69.38
MUNA,66.66
KONAWE,68.32
KOLAKA,67.74
KONAWE SELATAN,68.24
BOMBANA,68.52
WAKATOBI,68.6
KOLAKA UTARA,66.13
BUTON UTARA,69.32
KONAWE UTARA,67.93
KOLAKA TIMUR,63.53
KONAWE KEPULAUAN,64.81
MUNA BARAT,-
BUTON TENGAH,-
BUTON SELATAN,-
KOTA KENDARI,69.64
KOTA BAU-BAU,71.39
GORONTALO,67.54
BOALEMO,68.64
GORONTALO,69.57
POHUWATO,68.17
BONE BOLANGO,69.28
GORONTALO UTARA,67.37
KOTA GORONTALO,67.54
SULAWESI BARAT,68.34
MAJENE,66.11
POLEWALI MANDAR,65.62
MAMASA,71.48
MAMUJU,69.08
MAMUJU UTARA,67.66
MAMUJU TENGAH,70.95
MALUKU,67.88
MALUKU TENGGARA BARAT,64.62
MALUKU TENGGARA,68.47
MALUKU TENGAH,66.09
BURU,68.98
KEPULAUAN ARU,68.24
SERAM BAGIAN BARAT,66.88
SERAM BAGIAN TIMUR,66.35
MALUKU BARAT DAYA,64.59
BURU SELATAN,67.85
KOTA AMBON,73.33
KOTA TUAL,69.41
MALUKU UTARA,66.97
HALMAHERA BARAT,65.23
HALMAHERA TENGAH,67.78
KEPULAUAN SULA,66.01
HALMAHERA SELATAN,66.3
HALMAHERA UTARA,66.61
HALMAHERA TIMUR,66.28
PULAU MOROTAI,66.07
PULAU TALIABU,64.74
KOTA TERNATE,71.66
KOTA TIDORE KEPULAUAN,65.54
PAPUA BARAT,69.14
FAKFAK,71.33
KAIMANA,70.11
TELUK WONDAMA,68.06
TELUK BINTUNI,68.9
MANOKWARI,68.73
SORONG SELATAN,67.07
SORONG,68.65
RAJA AMPAT,67.07
TAMBRAUW,66.48
MAYBRAT,66.95
MANOKWARI SELATAN,66.64
PEGUNUNGAN ARFAK,66.93
KOTA SORONG,72.8
PAPUA,69.13
MERAUKE,63.85
JAYAWIJAYA,66.86
JAYAPURA,67.74
NABIRE,68.05
KEPULAUAN YAPEN,69.1
BIAK NUMFOR,67.06
PANIAI,68.36
PUNCAK JAYA,67.86
MIMIKA,70.88
BOVEN DIGOEL,67.62
MAPPI,66.66
ASMAT,67.34
YAHUKIMO,67.44
PEGUNUNGAN BINTANG,66.24
TOLIKARA,66.24
SARMI,66.58
KEEROM,67.53
WAROPEN,66.24
SUPIORI,66.53
MAMBERAMO RAYA,66.34
NDUGA,66.02
LANNY JAYA,66.7
MAMBERAMO TENGAH,66.62
YALIMO,66.78
PUNCAK,67.85
DOGIYAI,67.44
INTAN JAYA,66.87
DEIYAI,66.64
KOTA JAYAPURA,68.77
INDONESIA,70.07
