Nama Wilayah,Garis Kemiskinan Menurut Kabupaten/Kota (Rupiah/kapita/bulan)
,2013
ACEH,348172
Simeulue,305600
Aceh Singkil,316319
Aceh Selatan,283446
Aceh Tenggara,206797
Aceh Timur,319392
Aceh Tengah,370670
Aceh Barat,413061
Aceh Besar,352451
Pidie,361707
Bireuen,292308
Aceh Utara,274799
Aceh Barat Daya,283117
Gayo Lues,279420
Aceh Tamiang,331218
Nagan Raya,353231
Aceh Jaya,303209
Bener Meriah,327652
Pidie Jaya,373497
Kota Banda Aceh,493558
Kota Sabang,451218
Kota Langsa,298749
Kota Lhokseumawe,293788
Kota Subulussalam,241189
SUMATERA UTARA,311063
Nias,276654
Mandailing Natal,265043
Tapanuli Selatan,288154
Tapanuli Tengah,288774
Tapanuli Utara,276803
Toba Samosir,278478
Labuhan Batu,285004
Asahan,251914
Simalungun,270588
Dairi,251813
Karo,337578
Deli Serdang,288770
Langkat,289396
Nias Selatan,213412
Humbang Hasundutan,247658
Pakpak Bharat,207796
Samosir,228767
Serdang Bedagai,288126
Batu Bara,303019
Padang Lawas Utara,243213
Padang Lawas,237735
Labuhan Batu Selatan,290734
Labuhan Batu Utara,316418
Nias Utara,309886
Nias Barat,294770
Kota Sibolga,333923
Kota Tanjung Balai,306029
Kota Pematang Siantar,379314
Kota Tebing Tinggi,337049
Kota Medan,396112
Kota Binjai,305596
Kota Padangsidimpuan,300280
Kota Gunungsitoli,284492
SUMATERA BARAT,336606
Kepulauan Mentawai,217773
Pesisir Selatan,308472
Solok,316756
Sijunjung,290564
Tanah Datar,291848
Padang Pariaman,309999
Agam,267436
Lima Puluh Kota,300037
Pasaman,262825
Solok Selatan,268902
Dharmasraya,309661
Pasaman Barat,311657
Kota Padang,377943
Kota Solok,342001
Kota Sawah Lunto,267079
Kota Padang Panjang,354955
Kota Bukittinggi,356752
Kota Payakumbuh,366691
Kota Pariaman,331511
RIAU,350129
Kuantan Singingi,378811
Indragiri Hulu,369210
Indragiri Hilir,282361
Pelalawan,406420
Siak,336671
Kampar,336681
Rokan Hulu,358295
Bengkalis,388671
Rokan Hilir,296770
Kepulauan Meranti,375063
Kota Pekanbaru,381287
Kota Dumai,328158
JAMBI,307885
Kerinci,262679
Merangin,284393
Sarolangun,336577
Batang Hari,306054
Muaro Jambi,233773
Tanjung Jabung Timur,283415
Tanjung Jabung Barat,270069
Tebo,294410
Bungo,257567
Kota Jambi,346099
Kota Sungai Penuh,274586
SUMATERA SELATAN,291058
Ogan Komering Ulu,308219
Ogan Komering Ilir,257481
Muara Enim,275302
Lahat,313687
Musi Rawas,326798
Musi Banyuasin,347046
Banyu Asin,281336
Ogan Komering Ulu Selatan,235288
Ogan Komering Ulu Timur,227516
Ogan Ilir,313725
Empat Lawang,234158
