Provinsi / Kabupaten / Kota,Indeks Pembangunan Manusia Menurut Kabupaten/Kota
,2013
ACEH,73.05
SIMEULUE,70.76
ACEH SINGKIL,69.79
ACEH SELATAN,71.18
ACEH TENGGARA,72.81
ACEH TIMUR,71.79
ACEH TENGAH,75.04
ACEH BARAT,72.24
ACEH BESAR,74.51
PIDIE,73.32
BIREUEN,74.03
ACEH UTARA,73.51
ACEH BARAT DAYA,72.07
GAYO LUES,69.09
ACEH TAMIANG,72.04
NAGAN RAYA,71.5
ACEH JAYA,71
BENER MERIAH,72.39
PIDIE JAYA,73.69
KOTA BANDA ACEH,79
KOTA SABANG,77.23
KOTA LANGSA,75.1
KOTA LHOKSEUMAWE,77.84
KOTA SUBULUSSALAM,70.6
SUMATERA UTARA,75.55
NIAS,69.93
MANDAILING NATAL,71.72
TAPANULI SELATAN,75.13
TAPANULI TENGAH,72.55
TAPANULI UTARA,75.81
TOBA SAMOSIR,77.49
LABUHAN BATU,75.71
ASAHAN,74.23
SIMALUNGUN,74.55
DAIRI,74.22
KARO,76.76
DELI SERDANG,76.82
LANGKAT,74.38
NIAS SELATAN,68.58
HUMBANG HASUNDUTAN,73.09
PAKPAK BHARAT,72.54
SAMOSIR,75.02
SERDANG BEDAGAI,74.41
BATU BARA,73.26
PADANG LAWAS UTARA,73.96
PADANG LAWAS,73.27
LABUHAN BATU SELATAN,75.48
LABUHAN BATU UTARA,75.7
NIAS UTARA,69.39
NIAS BARAT,67.91
KOTA SIBOLGA,76.19
KOTA TANJUNG BALAI,75.44
KOTA PEMATANG SIANTAR,78.62
KOTA TEBING TINGGI,77.96
KOTA MEDAN,78.62
KOTA BINJAI,77.79
KOTA PADANGSIDIMPUAN,76.31
KOTA GUNUNGSITOLI,72.99
SUMATERA BARAT,75.01
KEPULAUAN MENTAWAI,69.72
PESISIR SELATAN,72.98
SOLOK,72.46
SIJUNJUNG,72.15
TANAH DATAR,75.29
PADANG PARIAMAN,72.93
AGAM,74.5
LIMA PULUH KOTA,72.54
PASAMAN,74.1
SOLOK SELATAN,70.23
DHARMAS RAYA,70.52
PASAMAN BARAT,71.39
KOTA PADANG,78.82
KOTA SOLOK,76.85
KOTA SAWAH LUNTO,76.11
KOTA PADANG PANJANG,78.81
KOTA BUKITTINGGI,79.29
KOTA PAYAKUMBUH,76.99
KOTA PARIAMAN,75.46
RIAU,77.25
KUANTAN SINGINGI,74.77
INDRAGIRI HULU,75.21
INDRAGIRI HILIR,76.41
PELALAWAN,74.27
SIAK,77.44
KAMPAR,75.83
ROKAN HULU,73.87
BENGKALIS,76.12
ROKAN HILIR,73.45
KEPULAUAN MERANTI,71.8
KOTA PEKANBARU,79.47
KOTA DUMAI,78.99
JAMBI,74.35
KERINCI,75.49
MERANGIN,73.28
SAROLANGUN,74.08
BATANG HARI,74.25
MUARO JAMBI,74.1
TANJUNG JABUNG TIMUR,73.03
TANJUNG JABUNG BARAT,74.21
TEBO,73.38
BUNGO,73.44
KOTA JAMBI,77.52
KOTA SUNGAI PENUH,78.11
SUMATERA SELATAN,74.36
OGAN KOMERING ULU,74.42
OGAN KOMERING ILIR,71.82
MUARA ENIM,72.06
LAHAT,72.68
MUSI RAWAS,69.57
MUSI BANYUASIN,73.67
BANYU ASIN,71.08
OGAN KOMERING ULU SELATAN,72.67
OGAN KOMERING ULU TIMUR,71.19
OGAN ILIR,70.89
EMPAT LAWANG,70.02
PENUKAL ABAB LEMATANG ILIR,68.31
MUSI RAWAS UTARA,67.94
KOTA PALEMBANG,77.74
KOTA PRABUMULIH,75.83
KOTA PAGAR ALAM,74.47
KOTA LUBUKLINGGAU,71.83
BENGKULU,74.41
BENGKULU SELATAN,73.66
REJANG LEBONG,72.63
BENGKULU UTARA,73.67
KAUR,71.54
SELUMA,68.4
MUKOMUKO,71.79
LEBONG,71.58
KEPAHIANG,69.76
BENGKULU TENGAH,69.93
KOTA BENGKULU,78.77
LAMPUNG,72.87
LAMPUNG BARAT,70.37
TANGGAMUS,72.66
LAMPUNG SELATAN,71.25
LAMPUNG TIMUR,72.14
LAMPUNG TENGAH,72.3
LAMPUNG UTARA,71.7
WAY KANAN,71.08
TULANGBAWANG,71.86
PESAWARAN,71.25
PRINGSEWU,73.22
MESUJI,68.79
TULANGBAWANG BARAT,70.38
PESISIR BARAT,68.43
KOTA BANDAR LAMPUNG,77.17
KOTA METRO,77.53
KEP. BANGKA BELITUNG,74.29
BANGKA,74.05
BELITUNG,74.82
BANGKA BARAT,71.46
BANGKA TENGAH,72.64
BANGKA SELATAN,68.58
BELITUNG TIMUR,73.46
KOTA PANGKAL PINANG,77.3
KEP. RIAU,76.56
KARIMUN,74.95
BINTAN,76.1
NATUNA,72.25
LINGGA,72.41
KEPULAUAN ANAMBAS,70.48
KOTA BATAM,78.73
KOTA TANJUNG PINANG,76.19
DKI JAKARTA,78.59
KEPULAUAN SERIBU,71.73
KODYA JAKARTA SELATAN,80.47
KODYA JAKARTA TIMUR,80.07
KODYA JAKARTA PUSAT,79.37
KODYA JAKARTA BARAT,79.69
KODYA JAKARTA UTARA,78.54
JAWA BARAT,73.58
BOGOR,73.92
SUKABUMI,71.96
CIANJUR,70.38
BANDUNG,75.11
GARUT,72.43
TASIKMALAYA,73.26
CIAMIS,72.68
KUNINGAN,72.47
CIREBON,70.25
MAJALENGKA,71.9
SUMEDANG,73.58
INDRAMAYU,69.52
SUBANG,72.1
PURWAKARTA,72.75
KARAWANG,71.56
BEKASI,74.8
BANDUNG BARAT,74.59
PANGANDARAN,70.74
KOTA BOGOR,76.82
KOTA SUKABUMI,76.16
KOTA BANDUNG,77.32
KOTA CIREBON,76.67
KOTA BEKASI,77.67
KOTA DEPOK,80.14
KOTA CIMAHI,76.86
KOTA TASIKMALAYA,75.71
KOTA BANJAR,72.84
JAWA TENGAH,74.05
CILACAP,73.34
BANYUMAS,73.96
PURBALINGGA,73.49
BANJARNEGARA,71.13
KEBUMEN,72.25
PURWOREJO,74.18
WONOSOBO,71.9
MAGELANG,73.67
BOYOLALI,71.88
KLATEN,74.91
SUKOHARJO,74.91
WONOGIRI,73.09
KARANGANYAR,75.27
SRAGEN,72.31
GROBOGAN,72.37
BLORA,72.1
REMBANG,73.53
PATI,74.58
KUDUS,74.09
JEPARA,74.13
DEMAK,73.85
SEMARANG,75.48
TEMANGGUNG,75
KENDAL,72.03
BATANG,72.03
PEKALONGAN,73.14
PEMALANG,71.26
TEGAL,72.22
BREBES,69.85
KOTA MAGELANG,77.91
KOTA SURAKARTA,79.1
KOTA SALATIGA,77.54
KOTA SEMARANG,78.54
KOTA PEKALONGAN,75.75
KOTA TEGAL,75.02
DI YOGYAKARTA,77.37
KULON PROGO,75.95
BANTUL,76.01
GUNUNG KIDUL,71.64
SLEMAN,79.97
KOTA YOGYAKARTA,80.51
JAWA TIMUR,73.54
PACITAN,73.36
PONOROGO,72.61
TRENGGALEK,74.44
TULUNGAGUNG,74.79
BLITAR,74.92
KEDIRI,73.29
MALANG,72.34
LUMAJANG,69.5
JEMBER,66.6
BANYUWANGI,71.02
BONDOWOSO,65.39
SITUBONDO,65.73
PROBOLINGGO,65.19
PASURUAN,69.77
SIDOARJO,78.15
MOJOKERTO,75.26
JOMBANG,74.47
NGANJUK,72.49
MADIUN,71.46
MAGETAN,74.34
NGAWI,70.86
BOJONEGORO,68.32
TUBAN,70.04
LAMONGAN,71.81
GRESIK,76.36
BANGKALAN,66.19
SAMPANG,62.39
PAMEKASAN,67.17
SUMENEP,66.89
KOTA KEDIRI,77.8
KOTA BLITAR,78.7
KOTA MALANG,78.78
KOTA PROBOLINGGO,75.94
KOTA PASURUAN,74.75
KOTA MOJOKERTO,78.66
KOTA MADIUN,78.17
KOTA SURABAYA,78.97
KOTA BATU,76.09
BANTEN,71.9
PANDEGLANG,69.64
LEBAK,68.82
TANGERANG,72.82
SERANG,70.25
KOTA TANGERANG,76.05
KOTA CILEGON,76.31
KOTA SERANG,73.12
KOTA TANGERANG SELATAN,77.13
BALI,74.11
JEMBRANA,74.29
TABANAN,76.19
BADUNG,76.37
GIANYAR,75.02
KLUNGKUNG,72.25
BANGLI,72.28
KARANG ASEM,68.47
BULELENG,72.54
KOTA DENPASAR,79.41
NUSA TENGGARA BARAT,67.73
LOMBOK BARAT,63.82
LOMBOK TENGAH,63.51
LOMBOK TIMUR,65.78
SUMBAWA,68.06
DOMPU,68.31
BIMA,67.34
SUMBAWA BARAT,68.5
LOMBOK UTARA,61.9
KOTA MATARAM,74.58
KOTA BIMA,70.73
NUSA TENGGARA TIMUR,68.77
SUMBA BARAT,65.49
SUMBA TIMUR,63.8
KUPANG,67.74
TIMOR TENGAH SELATAN,66.83
TIMOR TENGAH UTARA,68.94
BELU,66.24
ALOR,69.67
LEMBATA,69.17
FLORES TIMUR,70.03
SIKKA,69.18
ENDE,68.67
NGADA,70.89
MANGGARAI,68.69
ROTE NDAO,67.7
MANGGARAI BARAT,67.38
SUMBA TENGAH,63.05
SUMBA BARAT DAYA,62.29
NAGEKEO,67.93
MANGGARAI TIMUR,67.62
SABU RAIJUA,57.74
MALAKA,57.01
KOTA KUPANG,78.62
KALIMANTAN BARAT,70.93
SAMBAS,66.81
BENGKAYANG,69.38
LANDAK,69.58
PONTIANAK,70.13
SANGGAU,70.3
KETAPANG,69.74
SINTANG,69.81
KAPUAS HULU,70.97
SEKADAU,68.99
MELAWI,69.86
KAYONG UTARA,66.83
KUBU RAYA,69.32
KOTA PONTIANAK,74.64
KOTA SINGKAWANG,70.66
KALIMANTAN TENGAH,75.68
KOTAWARINGIN BARAT,75.11
KOTAWARINGIN TIMUR,75.4
KAPUAS,74.48
BARITO SELATAN,74.54
BARITO UTARA,76.13
SUKAMARA,73.24
LAMANDAU,73.29
SERUYAN,73.36
KATINGAN,73.83
PULANG PISAU,73.18
GUNUNG MAS,74.26
BARITO TIMUR,73.86
MURUNG RAYA,73.98
KOTA PALANGKA RAYA,79.52
KALIMANTAN SELATAN,71.74
TANAH LAUT,73.46
KOTA BARU,73.15
BANJAR,72.3
BARITO KUALA,69.31
TAPIN,72.18
HULU SUNGAI SELATAN,72
HULU SUNGAI TENGAH,72.21
HULU SUNGAI UTARA,70.58
TABALONG,71.56
TANAH BUMBU,71.82
BALANGAN,68.3
KOTA BANJARMASIN,75.28
KOTA BANJAR BARU,76.86
KALIMANTAN TIMUR,77.33
PASIR,76.56
KUTAI BARAT,74.61
KUTAI KARTANEGARA,74.8
KUTAI TIMUR,74.23
BERAU,75.83
MALINAU,-
BULUNGAN,-
NUNUKAN,-
PENAJAM PASER UTARA,74.82
TANA TIDUNG,-
MAHAKAM ULU,73
KOTA BALIKPAPAN,79.87
KOTA SAMARINDA,78.79
KOTA TARAKAN,-
KOTA BONTANG,78.4
KALIMANTAN UTARA,74.72
MALINAU,74.33
BULONGAN,76.31
TANA TIDUNG,73.2
NUNUKAN,75.13
KOTA TARAKAN,78.07
SULAWESI UTARA,77.36
BOLAANG MONGONDOW,74.22
MINAHASA,77.06
KEPULAUAN SANGIHE,76.79
KEPULAUAN TALAUD,76.47
MINAHASA SELATAN,75.82
MINAHASA UTARA,77.23
BOLAANG MONGONDOW UTARA,73.94
SIAU TAGULANDANG BIARO,74.56
MINAHASA TENGGARA,73.79
BOLAANG MONGONDOW SELATAN,72.27
BOLAANG MONGONDOW TIMUR,73.75
KOTA MANADO,79.34
KOTA BITUNG,76.66
KOTA TOMOHON,77.82
KOTA KOTAMOBAGU,77.05
SULAWESI TENGAH,72.54
BANGGAI KEPULAUAN,69.12
BANGGAI,72.75
MOROWALI,72.27
POSO,71.54
DONGGALA,71.42
TOLI-TOLI,70.24
BUOL,71.07
PARIGI MOUTONG,70.33
TOJO UNA-UNA,70
SIGI,68.96
BANGGAI LAUT,68.61
MOROWALI UTARA,71.2
KOTA PALU,77.88
SULAWESI SELATAN,73.28
KEPULAUAN SELAYAR,71
BULUKUMBA,73.21
BANTAENG,72.22
JENEPONTO,66.22
TAKALAR,70.77
GOWA,72.12
SINJAI,71.45
MAROS,73.48
PANGKAJENE DAN KEPULAUAN,71.26
BARRU,72.16
BONE,72.08
SOPPENG,73.31
WAJO,72.55
SIDENRENG RAPPANG,74.05
PINRANG,74.87
ENREKANG,75.67
LUWU,75.33
TANA TORAJA,73.76
LUWU UTARA,75.36
LUWU TIMUR,73.96
TORAJA UTARA,71.69
KOTA MAKASSAR,80.17
KOTA PARE-PARE,79.02
KOTA PALOPO,77.7
SULAWESI TENGGARA,71.73
BUTON,70.35
MUNA,68.97
KONAWE,71.67
KOLAKA,72.39
KONAWE SELATAN,70.7
BOMBANA,69.67
WAKATOBI,69.77
KOLAKA UTARA,70.65
BUTON UTARA,70.13
KONAWE UTARA,70.66
KOLAKA TIMUR,68.59
KONAWE KEPULAUAN,66.04
MUNA BARAT,-
BUTON TENGAH,-
BUTON SELATAN,-
