Kabupaten_Kota,Angka_Harapan_Hidup,Garis_Kemiskinan,Indeks_Pembangunan_Manusia,Rata_Lama_Sekolah
aceh,69.4,348172.0,73.05,8.44
aceh barat,70.55,413061.0,72.24,7.83
aceh barat daya,67.78,283117.0,72.07,7.69
aceh besar,71.17,352451.0,74.51,9.46
aceh jaya,68.53,303209.0,71.0,7.7
aceh selatan,67.54,283446.0,71.18,7.59
aceh singkil,65.58,316319.0,69.79,7.33
aceh tamiang,68.75,331218.0,72.04,7.69
aceh tengah,70.26,370670.0,75.04,9.25
aceh tenggara,69.69,206797.0,72.81,8.58
aceh timur,70.26,319392.0,71.79,7.28
aceh utara,70.26,274799.0,73.51,7.83
agam,69.43,267436.0,74.5,8.09
alor,67.67,232406.0,69.67,7.68
asahan,69.32,251914.0,74.23,7.89
asmat,67.34,271053.0,52.44,4.33
badung,72.24,406408.0,76.37,9.18
balangan,62.5,284378.0,68.3,6.23
bali,71.2,284009.0,74.11,8.1
bandung,69.37,256733.0,75.11,8.18
bandung barat,69.23,256789.0,74.59,7.39
banggai,69.03,287513.0,72.75,7.63
banggai kepulauan,64.85,244977.0,69.12,7.38
bangka,68.26,360715.0,74.05,7.88
bangka barat,68.32,366365.0,71.46,6.43
bangka selatan,68.33,350691.0,68.58,5.83
bangka tengah,68.39,479479.0,72.64,6.65
bangkalan,64.02,291529.0,66.19,4.9
bangli,72.18,258538.0,72.28,6.35
banjar,66.18,296791.0,72.3,6.96
banjarnegara,69.56,221056.0,71.13,5.86
bantaeng,74.59,200302.0,72.22,5.92
banten,65.47,288733.0,71.9,8.17
bantul,71.62,292639.0,76.01,8.72
banyu asin,67.84,281336.0,71.08,6.55
banyumas,70.23,295742.0,73.96,7.18
banyuwangi,68.58,276648.0,71.02,6.84
barito kuala,63.04,227692.0,69.31,6.42
barito selatan,68.47,311166.0,74.54,8.16
barito timur,68.0,373579.0,73.86,8.98
barito utara,72.39,355065.0,76.13,7.97
barru,69.52,246303.0,72.16,7.13
batang,70.97,208671.0,72.03,5.88
batang hari,69.8,306054.0,74.25,7.41
batu bara,68.92,303019.0,73.26,7.7
bekasi,70.45,361510.0,74.8,8.34
belitung,69.56,523846.0,74.82,8.02
belitung timur,69.5,464590.0,73.46,7.83
belu,66.75,252005.0,66.24,6.95
bener meriah,68.04,327652.0,72.39,8.93
bengkalis,70.61,388671.0,76.12,8.76
bengkayang,69.61,240704.0,69.38,5.96
bengkulu,70.44,327358.0,74.41,8.09
bengkulu selatan,67.77,278823.0,73.66,8.71
bengkulu tengah,70.28,286493.0,69.93,6.81
bengkulu utara,69.97,284806.0,73.67,7.74
berau,70.73,396593.0,75.83,8.52
biak numfor,67.06,409164.0,71.03,8.99
bima,63.95,243339.0,67.34,7.12
bintan,69.91,298916.0,76.1,8.23
bireuen,72.63,292308.0,74.03,8.58
blitar,71.8,236381.0,74.92,6.67
blora,72.02,237850.0,72.1,5.9
boalemo,68.64,269570.0,69.78,6.12
bogor,70.2,271970.0,73.92,7.4
bojonegoro,67.81,263439.0,68.32,5.9
bolaang mongondow,72.06,241743.0,74.22,7.03
bolaang mongondow selatan,71.47,237554.0,72.27,7.45
bolaang mongondow timur,71.51,237317.0,73.75,7.17
bolaang mongondow utara,70.42,194554.0,73.94,7.34
bombana,68.52,235920.0,69.67,7.21
bondowoso,63.95,290792.0,65.39,5.48
bone,70.56,233943.0,72.08,5.91
bone bolango,69.28,265208.0,73.24,7.67
boven digoel,67.62,331147.0,51.93,7.47
boyolali,70.71,247845.0,71.88,6.61
brebes,68.36,307238.0,69.85,5.68
buleleng,70.0,295912.0,72.54,6.63
bulukumba,72.62,249131.0,73.21,6.63
bungo,67.95,257567.0,73.44,7.85
buol,65.95,253185.0,71.07,8.04
buru,68.98,347690.0,70.79,6.91
buru selatan,67.85,404982.0,70.23,6.31
buton,69.38,188775.0,70.35,6.57
buton utara,69.32,242884.0,70.13,7.83
ciamis,67.73,270515.0,72.68,7.2
cianjur,66.8,264580.0,70.38,6.5
cilacap,71.63,256615.0,73.34,6.43
cirebon,66.04,300990.0,70.25,6.08
dairi,68.99,251813.0,74.22,8.58
deiyai,66.64,408519.0,50.19,2.87
deli serdang,71.31,288770.0,76.82,9.37
demak,71.95,299773.0,73.85,7.22
dki jakarta,73.56,434322.0,78.59,10.47
dogiyai,67.44,345421.0,51.42,4.76
dompu,61.68,233213.0,68.31,7.4
donggala,66.29,233991.0,71.42,7.76
empat lawang,65.78,234158.0,70.02,7.02
ende,65.31,271888.0,68.67,7.03
enrekang,75.66,235269.0,75.67,7.92
fakfak,71.33,394248.0,73.33,7.97
flores timur,68.79,214010.0,70.03,6.74
garut,66.51,226308.0,72.43,6.8
gayo lues,67.62,279420.0,69.09,7.0
gianyar,72.56,279742.0,75.02,8.24
gorontalo,67.54,233942.0,71.77,6.96
gorontalo utara,67.37,212360.0,70.81,6.53
gowa,72.04,278068.0,72.12,6.74
gresik,71.57,331296.0,76.36,8.41
grobogan,70.45,278786.0,72.37,6.25
gunung kidul,71.36,238056.0,71.64,6.22
gunung mas,68.28,317979.0,74.26,8.73
halmahera barat,65.23,251447.0,68.56,7.55
halmahera selatan,66.3,230667.0,69.45,6.99
halmahera tengah,67.78,335139.0,70.55,7.69
halmahera timur,66.28,383015.0,69.42,7.33
halmahera utara,66.61,184492.0,70.36,7.97
hulu sungai selatan,64.87,332312.0,72.0,7.05
hulu sungai tengah,66.43,257580.0,72.21,6.94
hulu sungai utara,64.17,312537.0,70.58,6.61
humbang hasundutan,68.09,247658.0,73.09,8.8
indragiri hilir,71.95,282361.0,76.41,6.74
indragiri hulu,69.03,369210.0,75.21,7.46
indramayu,67.74,350455.0,69.52,5.29
intan jaya,66.87,418057.0,49.61,2.16
jambi,69.61,307885.0,74.35,7.8
jawa barat,68.84,276825.0,73.58,7.58
jawa tengah,71.97,261881.0,74.05,6.8
